train_number,train_name,from_station,to_station,current_delay,delay_trend,accumulated_delay,segment_distance_km,current_speed_kmh,hist_avg_travel_time_min,hist_median_travel_time_min,scheduled_dwell_min,num_intermediate_stations,track_congestion_index,weather_impact_factor,hour_of_day,day_of_week,is_weekend,is_peak_hour,scheduled_segment_time_min,actual_dwell_min,actual_segment_travel_time_min,delay_increment_min
12626,Kerala Express,BZA,MAS,9,2.5,17,430,73.1,325,326,10,13,0.74,0.58,11,6,1,0,321,17.1,352.0,38.1
12759,Charminar Express,HYB,SC,21,5.0,25,10,86.4,14,13,5,1,0.89,0.28,14,0,0,0,6,8.1,28.2,25.3
12626,Kerala Express,AGC,VGLJ,40,0.0,38,215,77.2,196,194,5,8,0.57,0.2,18,1,0,1,191,5.0,221.2,30.2
12951,Mumbai Rajdhani,AGC,NDLS,21,1.0,17,195,109.0,122,123,8,6,0.76,0.69,12,5,1,0,117,12.7,138.5,26.2
12626,Kerala Express,BPL,NGP,2,0.0,2,390,75.7,272,274,3,10,0.4,0.23,18,1,0,1,265,3.0,292.7,27.7
12702,Telangana Express,KZJ,BPQ,6,-0.5,10,235,58.4,218,220,8,6,0.88,0.62,8,3,0,1,216,10.3,260.6,46.9
12702,Telangana Express,SC,KZJ,25,0.0,38,130,70.5,127,128,3,3,0.5,0.01,12,3,0,0,117,3.0,132.8,15.8
12759,Charminar Express,KZJ,BZA,24,0.0,37,210,87.9,139,142,10,5,0.76,0.28,4,3,0,0,135,17.1,156.5,28.6
12759,Charminar Express,SC,KZJ,1,1.0,0,130,73.1,122,124,2,4,0.27,0.16,18,0,0,1,115,2.0,126.9,11.9
12702,Telangana Express,AGC,NDLS,0,-1.5,12,195,111.8,113,112,8,7,0.22,0.6,3,3,0,0,108,15.9,112.9,12.8
12626,Kerala Express,NDLS,AGC,18,1.0,28,195,98.8,121,121,2,7,0.49,0.73,21,0,0,0,115,5.6,132.7,21.3
12951,Mumbai Rajdhani,MMCT,ST,14,0.0,27,263,66.6,216,214,10,7,0.11,0.44,3,3,0,0,211,10.0,239.6,28.6
12702,Telangana Express,BPQ,NGP,49,-0.5,61,210,60.8,183,186,5,6,0.19,0.39,19,3,0,1,180,5.0,204.1,24.1
12701,Rajdhani Express,BPL,NGP,14,-0.5,11,390,72.7,300,299,5,12,0.43,0.55,23,5,1,0,290,9.3,317.4,31.7
12702,Telangana Express,AGC,NDLS,45,1.0,59,195,92.5,123,124,3,8,0.79,0.23,16,3,0,0,112,6.2,142.4,33.6
12759,Charminar Express,KZJ,BZA,11,0.0,7,210,81.2,145,147,2,5,0.79,0.21,19,5,1,1,133,5.3,152.3,22.6
12759,Charminar Express,SC,KZJ,0,0.0,7,130,64.5,115,113,5,3,0.43,0.22,0,0,0,0,106,6.3,123.0,18.3
12759,Charminar Express,OGL,NLR,55,0.0,64,115,108.4,67,65,5,4,0.76,0.06,3,2,0,0,63,9.9,78.2,20.1
12702,Telangana Express,AGC,NDLS,17,-1.5,17,195,97.1,128,126,2,5,0.9,0.05,13,0,0,0,125,3.6,144.4,21.0
12951,Mumbai Rajdhani,KTA,AGC,3,-1.5,1,468,78.4,311,314,5,15,0.47,0.24,1,4,0,0,304,7.5,324.3,22.8
12759,Charminar Express,NLR,MAS,0,-1.5,3,175,95.9,104,104,10,7,0.73,0.26,5,4,0,0,98,13.9,109.1,15.0
12951,Mumbai Rajdhani,MMCT,ST,23,0.0,28,263,80.6,207,205,8,9,0.84,0.52,4,4,0,0,196,12.6,222.9,31.5
12701,Rajdhani Express,KZJ,SC,8,0.0,6,130,86.6,92,95,8,3,0.74,0.15,16,6,1,0,82,15.5,102.0,27.5
12759,Charminar Express,HYB,SC,43,-0.5,39,10,101.1,15,16,3,1,0.27,0.01,0,0,0,0,6,4.2,19.8,15.0
12702,Telangana Express,AGC,NDLS,0,-1.5,2,195,103.1,120,119,5,5,0.28,0.19,14,6,1,0,112,5.0,118.9,6.9
12702,Telangana Express,BPL,VGLJ,1,-0.5,2,290,74.4,209,207,3,8,0.22,0.76,7,5,1,1,207,3.0,237.0,30.0
12759,Charminar Express,BZA,OGL,1,0.0,15,140,92.8,106,104,5,5,0.61,0.26,7,4,0,1,100,6.4,115.5,16.9
12626,Kerala Express,BZA,MAS,16,1.0,23,430,60.1,362,361,3,10,0.69,0.02,1,6,1,0,356,3.0,393.5,37.5
12702,Telangana Express,HYB,SC,7,1.0,13,10,104.8,14,17,10,1,0.32,0.53,18,6,1,1,6,11.0,23.1,18.1
12701,Rajdhani Express,NDLS,AGC,77,-1.5,90,195,83.9,138,137,8,5,0.42,0.42,9,5,1,1,132,8.7,154.0,22.7
12702,Telangana Express,BPL,VGLJ,33,-1.5,36,290,97.0,175,174,8,7,0.82,0.71,10,2,0,0,169,11.4,191.1,25.5
12951,Mumbai Rajdhani,RTM,KTA,44,0.0,43,266,71.1,246,245,10,8,0.48,0.49,4,5,1,0,242,11.2,266.9,26.1
12702,Telangana Express,SC,KZJ,0,-0.5,14,130,76.2,104,102,10,3,0.93,0.49,6,4,0,0,95,13.6,118.9,27.5
12702,Telangana Express,HYB,SC,14,0.0,22,10,102.6,12,14,3,1,0.2,0.2,15,3,0,0,6,3.5,17.6,12.1
12702,Telangana Express,VGLJ,AGC,10,-0.5,8,215,99.2,128,127,8,7,0.4,0.17,2,3,0,0,119,8.3,127.8,9.1
12759,Charminar Express,BZA,OGL,8,-0.5,4,140,98.6,97,97,3,3,0.4,0.11,13,2,0,0,89,5.2,95.9,9.1
12759,Charminar Express,NLR,MAS,24,0.0,31,175,90.2,103,106,10,4,0.58,0.18,21,5,1,0,101,11.8,112.9,13.7
12702,Telangana Express,AGC,NDLS,0,-1.5,15,195,96.2,145,144,5,5,0.69,0.51,8,5,1,1,133,5.0,146.5,13.5
12626,Kerala Express,BPL,NGP,28,0.0,25,390,74.5,270,270,8,12,0.17,0.74,10,0,0,0,263,11.5,290.7,31.2
12759,Charminar Express,HYB,SC,24,5.0,35,10,87.9,15,13,5,1,0.78,0.48,3,4,0,0,7,7.3,34.1,29.4
12626,Kerala Express,NDLS,AGC,14,1.0,18,195,75.1,145,144,10,5,0.72,0.71,14,0,0,0,135,17.1,160.4,32.5
12759,Charminar Express,BZA,OGL,1,-1.5,0,140,88.9,100,101,5,3,0.16,0.08,11,5,1,0,89,6.2,94.0,6.2
12951,Mumbai Rajdhani,KTA,AGC,20,0.0,22,468,69.3,360,360,3,11,0.72,0.62,12,4,0,0,349,8.4,392.8,49.2
12701,Rajdhani Express,NDLS,AGC,2,-1.5,0,195,73.6,174,174,3,5,0.76,0.1,1,6,1,0,165,8.6,181.9,22.5
12702,Telangana Express,SC,KZJ,2,1.0,13,130,65.9,110,111,2,3,0.75,0.51,9,4,0,1,103,7.4,123.2,25.6
12702,Telangana Express,SC,KZJ,9,-0.5,19,130,72.3,113,115,2,3,0.28,0.65,8,6,1,1,110,5.0,126.4,19.4
12951,Mumbai Rajdhani,AGC,NDLS,28,0.0,34,195,101.6,119,121,2,8,0.37,0.74,6,2,0,0,112,4.7,128.5,19.2
12702,Telangana Express,SC,KZJ,6,0.0,4,130,62.1,118,116,2,3,0.59,0.4,14,0,0,0,112,7.3,135.5,28.8
12702,Telangana Express,BPL,VGLJ,29,2.5,43,290,95.1,178,176,2,7,0.45,0.6,0,3,0,0,169,3.3,193.6,25.9
12626,Kerala Express,MAS,SBC,0,-0.5,0,360,66.1,310,312,10,13,0.35,0.27,22,0,0,0,305,12.9,325.6,23.5
12759,Charminar Express,OGL,NLR,7,0.0,19,115,69.9,118,120,8,3,0.31,0.71,14,6,1,0,106,8.7,129.4,24.1
12759,Charminar Express,KZJ,BZA,12,5.0,10,210,74.6,162,163,3,5,0.21,0.44,15,3,0,0,160,5.5,178.9,21.4
12951,Mumbai Rajdhani,RTM,KTA,2,0.0,9,266,83.9,202,205,8,9,0.87,0.28,23,6,1,0,199,12.4,221.8,27.2
12701,Rajdhani Express,KZJ,SC,14,-0.5,10,130,92.9,95,98,3,5,0.28,0.22,17,1,0,1,90,3.7,101.2,11.9
12951,Mumbai Rajdhani,MMCT,ST,36,-0.5,36,263,89.0,170,170,10,6,0.26,0.18,23,2,0,0,165,10.8,183.5,19.3
12702,Telangana Express,NGP,BPL,23,1.0,38,390,113.0,238,241,3,10,0.53,0.77,13,4,0,0,226,4.3,246.0,21.3
12702,Telangana Express,KZJ,BPQ,3,-0.5,5,235,95.0,145,143,3,5,0.32,0.32,5,3,0,0,134,6.9,145.1,15.0
12702,Telangana Express,BPQ,NGP,31,-1.5,30,210,73.4,174,177,2,6,0.52,0.55,0,2,0,0,165,4.4,188.8,26.2
12759,Charminar Express,SC,KZJ,15,-1.5,27,130,80.4,113,111,2,3,0.87,0.03,21,1,0,0,107,7.4,129.9,28.3
12702,Telangana Express,NGP,BPL,4,-0.5,3,390,110.4,221,221,2,10,0.57,0.3,17,3,0,1,216,3.4,229.1,14.5
12701,Rajdhani Express,NDLS,AGC,3,-0.5,3,195,59.3,176,178,8,5,0.64,0.15,12,3,0,0,169,10.7,196.3,30.0
12951,Mumbai Rajdhani,AGC,NDLS,0,5.0,0,195,105.8,115,118,10,5,0.82,0.09,17,5,1,1,110,18.0,126.4,24.4
12759,Charminar Express,KZJ,BZA,5,2.5,14,210,97.6,133,135,3,7,0.83,0.47,15,3,0,0,129,5.0,147.5,20.5
12626,Kerala Express,MAS,SBC,0,1.0,3,360,74.0,264,264,8,9,0.79,0.48,9,1,0,1,261,13.5,297.9,42.4
12701,Rajdhani Express,KZJ,SC,0,0.0,11,130,69.2,119,122,10,3,0.67,0.09,11,5,1,0,107,13.1,121.6,17.7
12759,Charminar Express,HYB,SC,25,0.0,40,10,76.6,19,22,5,1,0.46,0.55,3,1,0,0,7,6.3,26.2,20.5
12759,Charminar Express,OGL,NLR,68,-0.5,70,115,75.6,86,85,3,3,0.45,0.66,7,2,0,1,81,4.1,106.7,26.8
12759,Charminar Express,NLR,MAS,33,0.0,30,175,81.9,143,143,5,4,0.85,0.68,4,1,0,0,132,8.5,158.6,30.1
12701,Rajdhani Express,BPQ,KZJ,49,0.0,64,235,89.7,177,180,8,7,0.24,0.45,21,6,1,0,167,8.0,182.9,15.9
12702,Telangana Express,BPQ,NGP,2,0.0,0,210,101.0,128,130,5,6,0.72,0.62,18,6,1,1,118,7.9,140.8,25.7
12702,Telangana Express,SC,KZJ,6,-0.5,20,130,102.8,88,86,3,3,0.24,0.04,10,5,1,0,83,3.4,88.6,6.0
12701,Rajdhani Express,KZJ,SC,45,0.0,49,130,86.3,92,93,8,3,0.55,0.35,8,6,1,1,82,8.0,102.6,20.6
12702,Telangana Express,KZJ,BPQ,24,0.0,21,235,73.0,169,170,10,8,0.2,0.44,19,2,0,1,165,10.0,191.5,26.5
12626,Kerala Express,SBC,ERS,12,2.5,21,580,71.5,509,509,8,15,0.57,0.37,10,1,0,0,507,8.4,550.1,43.5
12759,Charminar Express,HYB,SC,11,0.0,18,10,70.9,12,13,10,1,0.37,0.63,22,4,0,0,9,10.0,20.9,11.9
12759,Charminar Express,SC,KZJ,14,-0.5,12,130,64.7,124,127,3,4,0.94,0.67,0,2,0,0,114,7.7,145.4,36.1
12626,Kerala Express,BPL,NGP,41,-1.5,38,390,89.3,284,282,10,10,0.29,0.07,11,3,0,0,273,10.6,290.2,17.8
12701,Rajdhani Express,NDLS,AGC,0,0.0,14,195,85.4,134,137,10,5,0.86,0.77,1,6,1,0,124,12.4,148.7,27.1
12626,Kerala Express,SBC,ERS,29,0.0,26,580,76.4,421,421,3,23,0.47,0.35,16,0,0,0,419,6.1,449.7,33.8
12702,Telangana Express,BPL,VGLJ,48,1.0,62,290,78.3,216,218,2,7,0.43,0.12,21,0,0,0,204,2.0,222.0,18.0
12702,Telangana Express,BPQ,NGP,41,0.0,42,210,88.9,147,147,10,5,0.66,0.43,15,3,0,0,139,13.7,160.5,25.2
12626,Kerala Express,NGP,BZA,1,1.0,0,119,101.6,74,72,2,4,0.86,0.16,12,0,0,0,65,10.2,80.7,23.9
12702,Telangana Express,AGC,NDLS,14,-0.5,17,195,78.0,166,168,3,7,0.31,0.76,6,3,0,0,156,5.3,175.9,22.2
12951,Mumbai Rajdhani,MMCT,ST,5,1.0,18,263,75.2,209,210,2,9,0.72,0.73,19,4,0,1,199,10.4,232.7,42.1
12701,Rajdhani Express,KZJ,SC,43,0.0,46,130,83.8,105,105,5,3,0.77,0.7,16,1,0,0,93,8.7,119.9,30.6
12701,Rajdhani Express,AGC,VGLJ,0,-1.5,2,215,109.2,132,135,10,5,0.47,0.48,13,3,0,0,127,12.4,136.2,11.6
12702,Telangana Express,NGP,BPL,7,1.0,18,390,85.6,285,287,5,10,0.89,0.7,1,1,0,0,274,10.5,309.5,41.0
12951,Mumbai Rajdhani,AGC,NDLS,2,1.0,16,195,78.4,160,159,10,5,0.71,0.7,12,0,0,0,154,13.7,177.4,27.1
12702,Telangana Express,VGLJ,AGC,2,0.0,0,215,64.5,184,182,10,8,0.47,0.43,2,3,0,0,174,10.0,200.7,26.7
12951,Mumbai Rajdhani,BRC,RTM,0,-0.5,0,260,106.1,164,167,3,8,0.37,0.31,10,2,0,0,156,4.2,166.2,11.4
12702,Telangana Express,VGLJ,AGC,31,5.0,39,215,96.7,123,121,10,5,0.79,0.71,19,1,0,1,118,16.7,152.4,41.1
12702,Telangana Express,SC,KZJ,14,0.0,24,130,84.6,112,114,10,5,0.13,0.51,17,6,1,1,103,10.0,116.0,13.0
12702,Telangana Express,AGC,NDLS,5,0.0,3,195,57.1,183,186,2,5,0.79,0.6,14,6,1,0,174,6.0,204.7,34.7
12759,Charminar Express,OGL,NLR,4,-1.5,2,115,74.5,106,107,10,3,0.85,0.05,19,1,0,1,101,12.2,119.4,20.6
12759,Charminar Express,KZJ,BZA,8,-0.5,16,210,111.9,123,121,2,5,0.7,0.48,1,5,1,0,120,2.8,131.7,12.5
12702,Telangana Express,KZJ,BPQ,0,-1.5,7,235,74.8,203,201,8,7,0.23,0.35,19,1,0,1,198,8.8,217.1,19.9
12702,Telangana Express,HYB,SC,12,0.0,26,10,64.9,14,17,3,1,0.74,0.67,7,3,0,1,9,5.5,28.5,22.0
12759,Charminar Express,NLR,MAS,30,-1.5,27,175,70.0,138,140,8,7,0.67,0.26,11,3,0,0,135,10.9,158.8,26.7
12701,Rajdhani Express,AGC,VGLJ,29,0.0,36,215,84.4,161,159,10,5,0.77,0.15,4,6,1,0,156,13.4,181.9,29.3
12951,Mumbai Rajdhani,AGC,NDLS,24,-0.5,33,195,89.1,130,133,5,5,0.23,0.05,18,1,0,1,128,5.2,138.2,10.4
12626,Kerala Express,AGC,VGLJ,19,5.0,17,215,91.6,158,160,3,6,0.79,0.24,20,6,1,1,149,6.2,171.3,25.5
12701,Rajdhani Express,AGC,VGLJ,13,-0.5,13,215,90.2,130,129,5,7,0.9,0.2,17,1,0,1,123,7.7,141.1,20.8
12702,Telangana Express,NGP,BPL,0,0.0,11,390,96.6,247,246,2,11,0.52,0.12,17,2,0,1,236,2.3,252.5,16.8
12626,Kerala Express,BPL,NGP,15,-0.5,17,390,75.3,358,359,2,15,0.35,0.19,19,6,1,1,347,2.0,366.9,19.9
12626,Kerala Express,VGLJ,BPL,0,0.0,0,290,112.3,172,173,2,9,0.4,0.26,4,6,1,0,160,5.8,160.8,4.6
12702,Telangana Express,SC,KZJ,3,2.5,6,130,105.3,81,84,3,3,0.5,0.63,9,0,0,1,73,5.0,89.8,18.8
12626,Kerala Express,MAS,SBC,2,1.0,10,360,92.0,231,230,8,8,0.21,0.7,5,4,0,0,225,8.4,242.1,17.5
12626,Kerala Express,SBC,ERS,27,-0.5,35,580,87.1,348,350,10,13,0.36,0.04,2,5,1,0,346,12.3,364.1,20.4
12702,Telangana Express,BPL,VGLJ,1,0.0,0,290,87.2,189,189,3,9,0.24,0.67,3,3,0,0,186,3.6,197.3,11.9
12702,Telangana Express,HYB,SC,6,0.0,20,10,84.6,14,17,8,1,0.42,0.03,8,3,0,1,8,8.4,15.0,7.4
12626,Kerala Express,BZA,MAS,0,1.0,10,430,95.4,237,239,8,10,0.75,0.38,8,1,0,1,235,13.1,251.8,21.9
12626,Kerala Express,SBC,ERS,56,-1.5,55,580,95.9,338,337,8,14,0.35,0.19,23,4,0,0,326,9.9,348.1,24.0
12759,Charminar Express,OGL,NLR,24,-1.5,33,115,54.3,107,107,3,3,0.11,0.11,6,3,0,0,102,8.3,114.2,17.5
12626,Kerala Express,VGLJ,BPL,0,0.0,4,290,76.6,220,222,2,7,0.81,0.3,21,0,0,0,218,6.3,247.6,33.9
12626,Kerala Express,BPL,NGP,5,0.0,17,390,79.4,272,274,8,12,0.39,0.22,12,0,0,0,266,9.5,290.3,25.8
12701,Rajdhani Express,VGLJ,BPL,13,0.0,17,290,94.3,172,172,5,9,0.3,0.79,13,5,1,0,170,8.1,183.7,16.8
12701,Rajdhani Express,BPL,NGP,4,0.0,10,390,82.0,248,249,5,10,0.94,0.19,3,2,0,0,246,8.8,268.7,26.5
12702,Telangana Express,BPL,VGLJ,0,0.0,11,290,86.8,192,191,10,8,0.75,0.62,2,4,0,0,183,14.2,206.6,27.8
12701,Rajdhani Express,VGLJ,BPL,23,0.0,26,290,110.7,169,168,10,9,0.57,0.69,11,2,0,0,167,11.2,190.8,25.0
12702,Telangana Express,HYB,SC,27,-0.5,26,10,91.6,16,18,5,1,0.59,0.56,15,6,1,0,7,5.2,22.3,15.5
12759,Charminar Express,HYB,SC,7,2.5,10,10,90.5,14,12,5,1,0.9,0.08,6,5,1,0,6,8.1,19.4,16.5
12701,Rajdhani Express,AGC,VGLJ,31,0.0,38,215,74.6,171,174,8,8,0.48,0.36,7,2,0,1,168,9.4,195.4,28.8
12951,Mumbai Rajdhani,AGC,NDLS,8,0.0,14,195,74.6,174,176,2,7,0.89,0.64,7,6,1,1,168,5.3,196.4,31.7
12951,Mumbai Rajdhani,ST,BRC,57,5.0,56,130,73.3,122,122,5,4,0.89,0.16,19,6,1,1,113,9.3,144.0,35.3
12626,Kerala Express,MAS,SBC,56,0.0,56,360,86.4,223,226,3,14,0.21,0.46,20,5,1,1,214,3.0,242.2,28.2
12759,Charminar Express,OGL,NLR,0,-0.5,0,115,75.1,90,92,5,3,0.73,0.01,4,4,0,0,78,10.8,94.1,21.9
12759,Charminar Express,NLR,MAS,4,0.0,13,175,116.0,100,101,10,7,0.58,0.54,7,2,0,1,96,12.3,110.2,16.5
12759,Charminar Express,SC,KZJ,5,-0.5,3,130,91.9,89,89,10,5,0.71,0.75,16,2,0,0,83,12.7,100.1,19.8
12626,Kerala Express,VGLJ,BPL,8,2.5,15,290,99.9,187,187,8,10,0.67,0.66,23,6,1,0,185,10.5,211.8,29.3
12759,Charminar Express,HYB,SC,5,-1.5,0,10,89.6,12,11,8,1,0.73,0.18,11,6,1,0,6,12.8,20.8,19.6
12759,Charminar Express,OGL,NLR,30,0.0,36,115,79.1,90,93,10,4,0.5,0.23,4,5,1,0,85,10.0,101.8,16.8
12951,Mumbai Rajdhani,ST,BRC,60,0.0,58,130,94.4,77,79,2,4,0.77,0.64,0,0,0,0,72,3.7,96.8,26.5
12701,Rajdhani Express,NGP,BPQ,0,-0.5,14,210,83.8,155,155,5,8,0.45,0.17,13,1,0,0,145,5.6,159.0,14.6
12759,Charminar Express,SC,KZJ,0,-0.5,14,130,88.3,107,106,5,3,0.86,0.02,20,3,0,1,97,11.8,116.8,26.6
12626,Kerala Express,VGLJ,BPL,4,-0.5,1,290,88.4,196,198,10,8,0.59,0.26,7,3,0,1,186,12.1,204.9,21.0
12701,Rajdhani Express,SC,HYB,0,0.0,13,10,88.7,14,16,3,1,0.35,0.43,12,1,0,0,6,3.4,14.1,8.5
12951,Mumbai Rajdhani,ST,BRC,20,0.0,24,130,92.4,83,81,10,4,0.75,0.6,5,1,0,0,74,12.3,94.1,22.4
12759,Charminar Express,SC,KZJ,57,1.0,53,130,81.0,92,91,5,4,0.25,0.29,10,4,0,0,90,7.7,109.3,22.0
12702,Telangana Express,BPQ,NGP,14,0.0,19,210,67.5,193,193,2,5,0.8,0.6,23,4,0,0,190,4.2,220.8,33.0
12626,Kerala Express,VGLJ,BPL,12,-0.5,25,290,61.3,244,242,5,8,0.52,0.07,18,2,0,1,232,6.5,259.8,29.3
12702,Telangana Express,KZJ,BPQ,4,-0.5,2,235,86.0,147,150,8,9,0.28,0.21,9,3,0,1,142,9.0,151.1,10.1
12702,Telangana Express,AGC,NDLS,2,0.0,3,195,76.5,167,165,5,7,0.64,0.1,22,3,0,0,161,5.0,187.7,26.7
12759,Charminar Express,BZA,OGL,2,0.0,0,140,91.1,94,96,10,5,0.74,0.52,8,4,0,1,89,14.9,101.0,16.9
12951,Mumbai Rajdhani,BRC,RTM,28,0.0,37,260,89.9,184,184,5,10,0.74,0.74,3,4,0,0,175,8.3,203.5,31.8
12951,Mumbai Rajdhani,BRC,RTM,30,5.0,38,260,83.6,196,199,10,7,0.84,0.79,11,0,0,0,187,16.9,219.3,39.2
12951,Mumbai Rajdhani,BRC,RTM,2,0.0,7,260,63.6,213,215,3,9,0.52,0.52,9,3,0,1,211,4.4,240.4,30.8
12759,Charminar Express,OGL,NLR,34,0.0,32,115,105.0,76,76,5,4,0.3,0.04,17,3,0,1,68,5.9,80.4,13.3
12759,Charminar Express,BZA,OGL,21,5.0,28,140,81.4,107,106,5,4,0.22,0.32,15,1,0,0,97,8.4,113.5,19.9
12759,Charminar Express,HYB,SC,10,2.5,17,10,111.1,12,14,10,1,0.81,0.47,0,4,0,0,6,14.9,21.5,20.4
12951,Mumbai Rajdhani,BRC,RTM,6,0.0,20,260,95.3,157,160,10,6,0.39,0.31,19,5,1,1,154,10.6,166.6,13.2
12759,Charminar Express,KZJ,BZA,0,0.0,0,210,92.1,138,141,8,6,0.8,0.71,2,4,0,0,130,14.0,151.8,27.8
12701,Rajdhani Express,BPL,NGP,29,0.0,32,390,63.9,356,357,2,14,0.7,0.51,5,6,1,0,344,4.3,384.2,42.5
12759,Charminar Express,OGL,NLR,71,0.0,71,115,98.5,77,80,5,3,0.39,0.71,5,0,0,0,68,7.2,93.2,27.4
12951,Mumbai Rajdhani,KTA,AGC,7,0.0,4,468,103.5,269,272,10,17,0.79,0.2,14,3,0,0,261,13.8,276.2,19.0
12951,Mumbai Rajdhani,ST,BRC,7,-1.5,14,130,75.4,127,129,8,3,0.64,0.66,5,1,0,0,117,8.2,135.7,18.9
12701,Rajdhani Express,SC,HYB,32,0.0,40,10,81.2,16,18,3,1,0.16,0.4,13,1,0,0,7,3.3,15.9,9.2
12701,Rajdhani Express,KZJ,SC,5,0.0,11,130,78.2,107,110,10,3,0.89,0.28,10,5,1,0,95,15.7,116.6,27.3
12702,Telangana Express,NGP,BPL,2,1.0,7,390,105.3,243,246,8,10,0.48,0.54,0,0,0,0,234,9.2,242.4,9.6
12626,Kerala Express,VGLJ,BPL,11,2.5,22,290,83.9,241,239,8,9,0.45,0.12,20,0,0,1,230,10.9,248.4,21.3
12626,Kerala Express,SBC,ERS,5,-1.5,11,580,103.4,341,342,3,15,0.85,0.59,12,1,0,0,332,7.5,355.2,27.7
12702,Telangana Express,VGLJ,AGC,4,-0.5,2,215,66.3,177,175,5,5,0.48,0.29,0,0,0,0,171,6.7,189.5,20.2
12626,Kerala Express,NGP,BZA,0,-0.5,0,129,94.4,90,93,10,5,0.37,0.12,1,0,0,0,80,11.6,84.2,5.8
12702,Telangana Express,HYB,SC,29,5.0,44,10,83.2,15,13,2,1,0.72,0.43,20,4,0,1,7,5.8,28.9,25.7
12702,Telangana Express,BPL,VGLJ,18,2.5,22,290,82.8,182,181,8,8,0.21,0.74,5,4,0,0,180,8.2,204.6,24.8
12702,Telangana Express,KZJ,BPQ,17,-0.5,21,235,87.9,188,189,8,9,0.69,0.29,13,2,0,0,180,9.2,204.5,25.7
12951,Mumbai Rajdhani,ST,BRC,0,2.5,11,130,73.4,100,99,8,3,0.27,0.6,6,4,0,0,96,10.7,108.5,15.2
12626,Kerala Express,NGP,BZA,19,1.0,18,106,87.9,75,76,2,3,0.75,0.46,19,0,0,1,68,6.7,89.2,25.9
12759,Charminar Express,SC,KZJ,17,0.0,23,130,83.3,112,112,5,3,0.86,0.37,1,5,1,0,105,9.0,131.0,30.0
12701,Rajdhani Express,VGLJ,BPL,0,-0.5,9,290,82.2,235,233,8,8,0.6,0.2,18,3,0,1,226,9.4,238.7,14.1
12626,Kerala Express,AGC,VGLJ,39,0.0,35,215,75.1,162,164,10,5,0.14,0.74,22,0,0,0,153,11.1,181.7,29.8
12951,Mumbai Rajdhani,RTM,KTA,7,0.0,3,266,71.2,198,197,2,6,0.69,0.34,0,5,1,0,194,2.0,221.7,27.7
12626,Kerala Express,VGLJ,BPL,8,0.0,7,290,61.9,236,235,5,10,0.32,0.27,9,0,0,1,228,6.0,250.0,23.0
12701,Rajdhani Express,VGLJ,BPL,43,-1.5,41,290,96.2,171,173,2,11,0.31,0.06,20,6,1,1,166,4.9,177.9,14.8
12951,Mumbai Rajdhani,BRC,RTM,13,0.0,22,260,68.1,199,201,5,8,0.62,0.18,12,2,0,0,193,7.7,218.9,28.6
12759,Charminar Express,HYB,SC,80,1.0,83,10,92.2,8,11,3,1,0.67,0.39,19,6,1,1,6,3.0,32.1,26.1
12702,Telangana Express,SC,KZJ,3,0.0,6,130,88.6,92,92,2,4,0.41,0.42,5,4,0,0,81,5.4,96.0,18.4
12951,Mumbai Rajdhani,MMCT,ST,0,2.5,3,263,94.0,176,174,2,10,0.58,0.18,23,4,0,0,167,4.1,179.6,14.7
12701,Rajdhani Express,NGP,BPQ,10,-0.5,7,210,78.6,146,149,8,7,0.56,0.49,21,3,0,0,138,8.0,161.4,23.4
12626,Kerala Express,SBC,ERS,0,5.0,0,580,66.6,442,442,2,17,0.82,0.49,20,6,1,1,440,6.3,490.5,54.8
12626,Kerala Express,SBC,ERS,9,0.0,18,580,69.0,520,521,10,14,0.92,0.79,6,5,1,0,509,15.4,560.9,57.3
12701,Rajdhani Express,BPL,NGP,2,0.0,12,390,103.1,241,241,8,9,0.1,0.02,6,1,0,0,238,9.1,240.7,3.8
12702,Telangana Express,KZJ,BPQ,0,-1.5,10,235,107.0,139,138,8,6,0.2,0.01,19,2,0,1,133,10.8,133.5,3.3
12702,Telangana Express,KZJ,BPQ,15,0.0,30,235,60.6,218,220,10,6,0.69,0.75,12,1,0,0,212,10.2,249.4,37.6
12951,Mumbai Rajdhani,KTA,AGC,0,0.0,12,468,100.1,312,311,5,14,0.34,0.37,2,2,0,0,303,6.8,311.8,10.6
12702,Telangana Express,BPL,VGLJ,47,-0.5,44,290,103.9,185,184,5,7,0.83,0.14,2,3,0,0,180,6.8,203.2,25.0
12626,Kerala Express,SBC,ERS,22,0.0,37,580,113.3,329,332,5,13,0.49,0.04,22,3,0,0,322,7.6,325.5,6.1
12702,Telangana Express,HYB,SC,28,0.0,33,10,91.4,15,15,8,1,0.33,0.31,14,1,0,0,6,8.0,16.1,10.1
12759,Charminar Express,HYB,SC,26,-0.5,29,10,112.5,12,10,3,1,0.89,0.64,0,6,1,0,5,6.8,29.5,28.3
12626,Kerala Express,VGLJ,BPL,28,-0.5,24,290,81.4,200,200,3,10,0.85,0.02,2,6,1,0,188,8.3,217.7,35.0
12701,Rajdhani Express,BPL,NGP,31,2.5,45,390,107.3,218,218,8,14,0.45,0.4,19,2,0,1,213,10.9,230.7,20.6
12759,Charminar Express,HYB,SC,6,-0.5,13,10,92.7,18,21,2,1,0.38,0.31,4,4,0,0,7,3.1,25.5,19.6
12702,Telangana Express,SC,KZJ,17,1.0,25,130,94.5,83,84,2,4,0.72,0.24,16,3,0,0,74,7.1,86.6,17.7
